ID	HC_1	HC_10	HC_11	HC_12	HC_13	HC_2	HC_3	HC_4	HC_5	HC_6	HC_7	HC_8	HC_9	PTB_1	PTB_10	PTB_11	PTB_12	PTB_13	PTB_2	PTB_3	PTB_4	PTB_5	PTB_6	PTB_7	PTB_8	PTB_9	PTB_DM_1	PTB_DM_10	PTB_DM_11	PTB_DM_12	PTB_DM_13	PTB_DM_2	PTB_DM_3	PTB_DM_4	PTB_DM_5	PTB_DM_6	PTB_DM_7	PTB_DM_8	PTB_DM_9
1-Naphthalenamine	9920.164	11653.14118	10037.61995	15053.643	13122.29805	13179.95089	13099.75491	12554.78733	13113.57	9272.36545	10555.51362	10747.67571	12471.83625	9812.690875	6317.9365	3668.309	10539.72471	9692.342	5823.009	9794.513333	8331.988727	10096.93835	10500.1657	11631.56745	12165.91883	7589.020235	10064.329	6587.114182	9817.5875	5839.060174	5678.973182	10995.65312	10704.21753	11651.54963	11620.01595	13014.8304	11842.09843	8053.410263	10207.40482
Stachydrine	82860.28833	66128.9143	160761.906	31210.51683	62575.70948	120423.846	12866.47047	16604.4875	7224.186	81657.07968	441912.36	210884.3357	124045.21	52081.96428	116991.4678	130411.6333	183906.0311	81335.65895	12317.48165	34743.0912	17288.02274	6804.375538	51906.90444	37793.69767	50396.67133	35040.52394	59106.60695	177887.71	64775.33056	77261.186	94613.84211	16630.82381	12235.64817	11843.80889	3691.276947	216514.6126	82894.13012	30144.06611	119008.8331
3-Formylindole	14550.97036	11579.54667	12124.63636	19041.2175	16285.34794	17417.80927	17291.23246	16391.95353	18692.36728	14487.85159	13170.13513	16905.39671	17682.39927	12570.3921	7184.960727	5509.819556	14213.54332	13701.383	10635.04653	12233.1827	11891.44282	12699.372	13750.701	14522.2	14135.69143	10870.96145	12890.13148	9352.608476	13377.66375	8555.576818	9460.569318	15428.14821	13961.04136	13584.50625	16204.71758	18032.94532	17447.14638	12877.65818	11273.07136
3-Dehydroxycarnitine	16809.20353	14734.17289	15872.625	15359.84647	22323.03537	9106.139667	18589.9875	17307.40237	14714.40632	9940.587222	4765.3056	12657.29506	8434.035684	13147.75644	8055.178158	8427.629	12720.30294	18970.78235	16518.38982	14048.42368	24018.89906	21051.17741	22023.89856	11461.61025	14035.14956	10703.9075	10244.16079	1860.532467	10906.18667	12445.74394	14231.23684	16118.21194	21589.57833	18086.728	23154.099	10893.7108	10799.585	8599.904444	5275.812
Spermidine	2344.218947	269.383252	991.5604545	1148.949783	451.2215217	1566.924	1734.0983	2880.566286	2773.907818	499.6466087	375.6779188	264.9216903	583.3541111	2038.14	521.6928824	344.6533841	367.4797535	2113.417778	1232.526182	1280.400417	1495.416682	1225.905524	1480.050947	810.0555	419.601	251.0827473	1424.550286	2566.143	609.6150244	426.4	2201.524684	2232.303652	2098.5075	1210.26375	797.537	1006.39175	281.448375	356.3062744	577.6461875
Glutamine	25574.18667	32882.26205	30889.92	29128.00005	28139.40912	31590.24	28437.056	24760.17345	25819.34438	29885.7105	36431.26667	30437.685	28962.76442	24295.6114	27756.46611	33515.80814	43963.66916	26806.82244	10794.72	30595.4735	22878.56422	29076.28977	21764.43176	30753.39768	29296.07269	17385.26706	22289.59269	45101.33341	26233.74268	40091.45636	29995.06615	33209.92	24753.12188	50515.31507	27361.1194	35390.7144	32250.07924	18490.06819	22900.36659
Lysine	30013.74224	20937.47357	25239.07718	38648.70055	19555.32461	27375.57053	27438.565	31944.75494	41579.214	25917.14125	25565.62527	27036.26905	22000.36575	27130.81966	14811.6077	12154.82863	27940.62463	26982.88612	21625.48341	28594.51044	35701.28075	28099.95443	28298.12356	20165.68475	21313.58118	20312.32868	30333.576	29887.77927	19200.49018	18629.93718	34622.55789	47248.104	25828.38669	28324.29688	32889.96826	13256.05463	30271.50109	10646.559	22236.07261
Thiomorpholine 3-carboxylate	482.534	1711.22875	1943.639692	1478.226733	2434.219385	415.9583333	901.3329231	338.8176	350.172	1409.884333	447.6597087	916.1008	459.4741667	942.9756154	4779.322588	7749.9165	975.9817047	3122.459846	397.3781395	432.7786959	1363.723	509.1730769	686.1105	1551.186	2432.380125	1949.703429	1269.0075	1487.493083	279.6044405	173.5136668	3144.4842	485.8538081	578.6256714	480.9915	212.0417175	1767.472765	1498.836438	1375.428231	281.3131968
Glutamic acid	8080.189529	8669.01425	6375.6936	14893.42753	6809.3216	11516.24929	13466.71424	11004.88824	9993.834471	7131.752833	6875.06775	7009.117944	8426.057556	9642.307826	6349.787733	9959.96715	9842.988941	8571.649625	21335.68456	8946.629176	9038.991	14212.4099	13775.75689	1202.5796	6416.301333	3335.3008	15819.28773	12257.81768	13887.0235	10892.42477	16582.61768	14526.00567	20771.73144	10995.16367	15520.011	6807.77325	5183.821714	6156.026462	6539.951418
Glutamic acid	7581.4341	1377.264	2826.05568	2919.4848	1205.957333	2395.548	797.3777778	2125.8585	2058.171867	6477.023052	2030.559231	6382.081931	433.8824286	7656.003592	6991.284691	2326.25	2636.406957	8858.009255	18979.03299	2415.268143	8644.335477	12511.51199	12220.72883	2532.685586	2423.2668	5449.312632	12283.81282	2091.581143	12514.69315	1876.71	2060.455154	874.2603125	18694.66945	4150.421273	1748.620313	6581.11272	3537.861048	5343.319701	1907.690909
